Ticker,Category,Price,Trend,RSI,Volatility,Momentum_1M
RB=F,Com_Energy,1.81,BEAR,20.81,25.42,-8.32
RB=F,Com_Energy,1.8,BEAR,18.45,25.75,-8.79
NG=F,Com_Energy,4.12,BULL,34.14,63.48,-9.34
BTC-USD,Crypto,90503.26,BEAR,57.23,41.35,-1.05
BTC-USD,Crypto,91463.27,BEAR,56.8,41.96,-1.6
BTC-USD,Crypto,88397.98,BEAR,40.14,37.73,-2.77
ETH-USD,Crypto,3004.02,BEAR,58.18,56.11,1.56
SOL-USD,Crypto,132.56,BEAR,44.07,57.91,-3.07
SOL-USD,Crypto,138.5,BEAR,50.11,61.3,-1.58
ETH-USD,Crypto,2927.27,BEAR,46.86,56.41,-3.32
ETH-USD,Crypto,2910.44,BEAR,35.17,56.59,-3.45
ETH-USD,Crypto,3109.05,BEAR,54.45,57.91,10.97
ETH-USD,Crypto,3019.11,BEAR,60.02,58.02,-0.18
ETH-USD,Crypto,3036.83,BEAR,62.29,58.51,-1.81
ETH-USD,Crypto,3238.26,BEAR,58.71,54.51,17.01
ETH-USD,Crypto,3129.15,BEAR,64.21,58.22,0.82
ETH-USD,Crypto,3328.72,BEAR,63.35,54.22,17.55
SOL-USD,Crypto,126.67,BEAR,32.81,56.02,-7.8
ETH-USD,Crypto,3105.18,BEAR,66.91,57.81,-1.94
ETH-USD,Crypto,3149.6,BEAR,59.62,57.74,0.85
SOL-USD,Crypto,126.72,BEAR,50.02,54.44,-8.76
ETH-USD,Crypto,3121.44,BEAR,58.2,56.0,3.25
SOL-USD,Crypto,127.1,BEAR,24.02,53.12,-9.76
SOL-USD,Crypto,127.48,BEAR,34.91,52.74,-10.86
SOL-USD,Crypto,138.94,BEAR,51.5,56.92,8.93
SOL-USD,Crypto,133.01,BEAR,54.41,66.94,-3.1
SOL-USD,Crypto,131.32,BEAR,50.51,64.84,0.36
SOL-USD,Crypto,133.22,BEAR,47.28,57.37,1.92
SOL-USD,Crypto,136.13,BEAR,56.39,65.96,-2.44
SOL-USD,Crypto,137.4,BEAR,44.76,58.54,2.91
SOL-USD,Crypto,139.84,BEAR,55.18,65.11,0.84
ETH-USD,Crypto,2951.7,BEAR,41.62,60.52,-2.66
BTC-USD,Crypto,86867.21,BEAR,51.25,37.61,-0.54
BTC-USD,Crypto,87420.37,BEAR,31.86,35.81,-4.23
BTC-USD,Crypto,86884.29,BEAR,37.33,35.46,-4.01
BTC-USD,Crypto,92255.81,BEAR,53.2,36.31,8.99
BTC-USD,Crypto,89692.46,BEAR,60.04,42.28,-4.76
BTC-USD,Crypto,88795.3,BEAR,54.28,41.6,-3.58
BTC-USD,Crypto,90270.15,BEAR,48.73,36.76,3.99
BTC-USD,Crypto,90501.7,BEAR,61.21,41.63,-5.28
BTC-USD,Crypto,92039.43,BEAR,53.58,37.22,6.24
BTC-USD,Crypto,92277.27,BEAR,61.81,41.46,-2.25
MPC,Sector_Energy,190.15,BULL,44.69,30.09,2.13
MPC,Sector_Energy,190.73,BULL,35.68,26.85,-2.87
COP,Sector_Energy,93.12,BULL,60.61,27.36,6.18
COP,Sector_Energy,93.43,BULL,63.58,25.3,5.89
PSX,Sector_Energy,130.43,BULL,42.01,33.18,-5.76
OXY,Sector_Energy,40.19,BEAR,38.21,21.17,-6.01
XOM,Sector_Energy,116.54,BULL,40.61,18.43,1.78
XOM,Sector_Energy,119.54,BULL,59.13,16.66,1.2
SLB,Sector_Energy,38.46,BULL,60.24,29.44,5.78
TPL,Sector_Energy,919.75,BEAR,38.35,56.23,0.08
TPL,Sector_Energy,880.82,BEAR,40.66,42.11,-11.37
CVX,Sector_Energy,148.51,BEAR,47.55,16.77,-3.33
OKE,Sector_Energy,73.11,BEAR,61.91,20.27,5.29
CVX,Sector_Energy,149.8,BEAR,50.14,15.73,-4.96
TPL,Sector_Energy,919.75,BEAR,38.35,56.23,0.08
SLB,Sector_Energy,,BEAR,67.57,29.48,3.6
XOM,Sector_Energy,118.82,BULL,56.02,16.71,0.03
XOM,Sector_Energy,116.54,BULL,40.61,18.43,1.78
OXY,Sector_Energy,39.76,BEAR,38.69,22.42,-6.49
PSX,Sector_Energy,141.51,BULL,71.86,26.69,-0.57
COP,Sector_Energy,93.12,BULL,60.61,27.36,6.18
MPC,Sector_Energy,190.15,BULL,44.69,30.09,2.13
MPC,Sector_Energy,185.77,BULL,39.27,26.13,-4.53
MPC,Sector_Energy,190.53,BULL,37.13,27.31,-1.14
COP,Sector_Energy,95.54,BULL,75.33,26.01,6.84
COP,Sector_Energy,93.69,BULL,57.22,25.53,9.37
VLO,Sector_Energy,,BEAR,31.37,33.26,-3.14
OXY,Sector_Energy,40.09,BEAR,37.43,23.11,-4.59
XOM,Sector_Energy,117.14,BULL,44.33,18.41,3.04
KMI,Sector_Energy,,BEAR,52.56,18.83,0.85
TPL,Sector_Energy,838.64,BEAR,37.25,45.66,-15.2
TPL,Sector_Energy,925.08,BEAR,31.85,42.32,-8.51
HAL,Sector_Energy,,BEAR,63.81,27.48,1.34
OKE,Sector_Energy,72.83,BEAR,61.99,19.99,3.32
OKE,Sector_Energy,71.89,BEAR,51.58,20.15,3.54
HAL,Sector_Energy,28.45,BULL,61.17,27.13,4.1
CVX,Sector_Energy,149.05,BEAR,47.53,16.98,-4.2
BKR,Sector_Energy,45.0,BULL,22.21,26.23,-7.19
TPL,Sector_Energy,925.08,BEAR,31.85,42.32,-8.51
TPL,Sector_Energy,890.3,BEAR,51.79,41.85,-11.54
KMI,Sector_Energy,27.77,BULL,54.67,19.35,6.32
XOM,Sector_Energy,117.14,BULL,44.33,18.41,3.04
XOM,Sector_Energy,118.25,BULL,47.31,17.64,0.03
VLO,Sector_Energy,174.14,BULL,40.85,34.13,-1.06
PSX,Sector_Energy,140.49,BULL,66.59,28.21,0.71
COP,Sector_Energy,93.69,BULL,57.22,25.53,9.37
COP,Sector_Energy,96.71,BULL,80.68,25.36,8.58
CTRA,Sector_Energy,25.77,BULL,40.18,29.29,0.06
MPC,Sector_Energy,190.53,BULL,37.13,27.31,-1.14
MPC,Sector_Energy,187.11,BULL,48.42,26.29,-4.97
CTRA,Sector_Energy,27.39,BULL,60.15,25.31,3.87
MPC,Sector_Energy,185.51,BULL,39.59,23.62,-7.24
VLO,Sector_Energy,161.81,BULL,22.89,27.16,-10.27
PSX,Sector_Energy,139.42,BULL,49.87,27.71,2.57
COP,Sector_Energy,94.36,BULL,69.86,25.64,3.27
OXY,Sector_Energy,42.67,BEAR,55.25,20.68,7.35
OXY,Sector_Energy,41.55,BEAR,40.4,20.65,-0.6
KMI,Sector_Energy,26.76,BEAR,44.05,20.67,-0.21
TPL,Sector_Energy,839.63,BEAR,41.08,43.08,-17.9
CVX,Sector_Energy,152.26,BULL,41.46,17.16,-0.26
BKR,Sector_Energy,49.2,BULL,53.24,24.07,4.04
OKE,Sector_Energy,76.34,BEAR,76.91,17.41,12.58
OKE,Sector_Energy,73.59,BEAR,64.74,20.0,5.98
HAL,Sector_Energy,27.58,BULL,60.88,28.47,4.25
OKE,Sector_Energy,73.62,BEAR,67.47,20.02,6.85
OKE,Sector_Energy,76.34,BEAR,76.91,17.41,12.58
CVX,Sector_Energy,152.26,BULL,41.46,17.16,-0.26
BKR,Sector_Energy,47.39,BULL,45.83,26.38,-2.89
CVX,Sector_Energy,148.49,BEAR,35.06,17.1,-4.6
TPL,Sector_Energy,882.01,BEAR,53.48,46.4,-4.14
XOM,Sector_Energy,117.31,BULL,50.71,17.88,-1.25
OXY,Sector_Energy,42.67,BEAR,55.25,20.68,7.35
COP,Sector_Energy,92.99,BULL,63.71,28.27,3.69
PSX,Sector_Energy,139.42,BULL,49.87,27.71,2.57
PSX,Sector_Energy,139.88,BULL,53.45,27.14,0.89
CTRA,Sector_Energy,,BEAR,53.69,27.49,0.68
MPC,Sector_Energy,173.62,BULL,22.04,26.58,-13.02
MPC,Sector_Energy,185.1,BULL,38.14,26.25,-4.87
PSX,Sector_Energy,139.36,BULL,44.64,27.12,0.84
PSX,Sector_Energy,143.43,BULL,79.79,27.29,3.92
COP,Sector_Energy,93.71,BULL,67.67,28.27,4.8
OXY,Sector_Energy,41.07,BEAR,45.79,21.2,-2.26
OXY,Sector_Energy,42.43,BEAR,47.1,20.56,5.29
XOM,Sector_Energy,116.39,BULL,54.65,19.06,-2.21
TPL,Sector_Energy,822.47,BEAR,34.77,48.66,-16.84
CVX,Sector_Energy,150.0,BEAR,30.62,17.92,-1.92
CVX,Sector_Energy,150.72,BULL,51.17,17.63,-1.7
OKE,Sector_Energy,74.96,BEAR,77.35,19.31,10.4
OKE,Sector_Energy,76.17,BEAR,78.64,18.38,14.94
OKE,Sector_Energy,76.17,BEAR,78.64,18.38,14.94
CVX,Sector_Energy,149.99,BEAR,50.03,16.68,-3.59
CVX,Sector_Energy,150.0,BEAR,30.62,17.92,-1.92
SLB,Sector_Energy,38.26,BULL,61.26,31.2,6.68
XOM,Sector_Energy,117.76,BULL,56.21,16.92,-1.28
OXY,Sector_Energy,42.43,BEAR,47.1,20.56,5.29
OXY,Sector_Energy,41.2,BEAR,49.89,21.22,-1.74
PSX,Sector_Energy,141.44,BULL,69.84,27.65,1.39
PSX,Sector_Energy,139.36,BULL,44.64,27.12,0.84
WMB,Sector_Energy,63.66,BULL,68.15,24.39,10.64
WMB,Sector_Energy,61.55,BULL,61.78,23.8,1.57
EQT,Sector_Energy,53.49,BEAR,32.73,38.38,-8.94
APA,Sector_Energy,27.1,BULL,65.71,36.77,14.64
APA,Sector_Energy,26.14,BULL,58.29,39.26,7.35
TRGP,Sector_Energy,181.47,BEAR,63.07,27.13,6.65
EQT,Sector_Energy,55.17,BULL,43.0,36.94,-7.9
WMB,Sector_Energy,63.66,BULL,68.15,24.39,10.64
EXE,Sector_Energy,109.24,BULL,29.19,34.72,-6.85
WMB,Sector_Energy,59.74,BULL,50.55,25.23,0.25
WMB,Sector_Energy,62.81,BULL,58.54,25.24,8.41
EOG,Sector_Energy,112.17,BEAR,55.94,19.19,6.83
DVN,Sector_Energy,36.39,BULL,46.35,32.96,3.16
FANG,Sector_Energy,152.34,BULL,49.58,26.16,2.45
EQT,Sector_Energy,54.9,BULL,43.99,37.39,-8.88
EOG,Sector_Energy,,BEAR,53.4,19.89,3.8
WMB,Sector_Energy,62.81,BULL,58.54,25.24,8.41
WMB,Sector_Energy,60.92,BULL,58.92,24.73,0.81
WMB,Sector_Energy,59.48,BULL,50.21,23.71,-2.48
