Ticker,Category
STT,Sector_Financials
SYF,Sector_Financials
TFC,Sector_Financials
TROW,Sector_Financials
TRV,Sector_Financials
USB,Sector_Financials
V,Sector_Financials
WFC,Sector_Financials
WRB,Sector_Financials
WTW,Sector_Financials
XYZ,Sector_Financials
A,Sector_HealthCare
ABBV,Sector_HealthCare
ABT,Sector_HealthCare
ALGN,Sector_HealthCare
AMGN,Sector_HealthCare
BAX,Sector_HealthCare
BDX,Sector_HealthCare
BIIB,Sector_HealthCare
BMY,Sector_HealthCare
BSX,Sector_HealthCare
CAH,Sector_HealthCare
CI,Sector_HealthCare
CNC,Sector_HealthCare
COO,Sector_HealthCare
COR,Sector_HealthCare
CRL,Sector_HealthCare
CVS,Sector_HealthCare
DGX,Sector_HealthCare
DHR,Sector_HealthCare
DVA,Sector_HealthCare
DXCM,Sector_HealthCare
ELV,Sector_HealthCare
EW,Sector_HealthCare
GEHC,Sector_HealthCare
GILD,Sector_HealthCare
HCA,Sector_HealthCare
HOLX,Sector_HealthCare
HSIC,Sector_HealthCare
HUM,Sector_HealthCare
IDXX,Sector_HealthCare
INCY,Sector_HealthCare
IQV,Sector_HealthCare
ISRG,Sector_HealthCare
JNJ,Sector_HealthCare
LH,Sector_HealthCare
LLY,Sector_HealthCare
MCK,Sector_HealthCare
MDT,Sector_HealthCare
MOH,Sector_HealthCare
MRK,Sector_HealthCare
MRNA,Sector_HealthCare
MTD,Sector_HealthCare
PFE,Sector_HealthCare
PODD,Sector_HealthCare
REGN,Sector_HealthCare
RMD,Sector_HealthCare
RVTY,Sector_HealthCare
SOLV,Sector_HealthCare
STE,Sector_HealthCare
SYK,Sector_HealthCare
TECH,Sector_HealthCare
TMO,Sector_HealthCare
UHS,Sector_HealthCare
UNH,Sector_HealthCare
VRTX,Sector_HealthCare
VTRS,Sector_HealthCare
WAT,Sector_HealthCare
WST,Sector_HealthCare
ZBH,Sector_HealthCare
ZTS,Sector_HealthCare
ADP,Sector_Industrials
ALLE,Sector_Industrials
AME,Sector_Industrials
AOS,Sector_Industrials
AXON,Sector_Industrials
BA,Sector_Industrials
BLDR,Sector_Industrials
BR,Sector_Industrials
CARR,Sector_Industrials
CAT,Sector_Industrials
CHRW,Sector_Industrials
CMI,Sector_Industrials
CPRT,Sector_Industrials
CSX,Sector_Industrials
CTAS,Sector_Industrials
DAL,Sector_Industrials
DAY,Sector_Industrials
DE,Sector_Industrials
DOV,Sector_Industrials
EFX,Sector_Industrials
EME,Sector_Industrials
EMR,Sector_Industrials
ETN,Sector_Industrials
EXPD,Sector_Industrials
FAST,Sector_Industrials
FDX,Sector_Industrials
FTV,Sector_Industrials
GD,Sector_Industrials
GE,Sector_Industrials
GEV,Sector_Industrials
GNRC,Sector_Industrials
GWW,Sector_Industrials
HII,Sector_Industrials
HON,Sector_Industrials
HUBB,Sector_Industrials
HWM,Sector_Industrials
IEX,Sector_Industrials
IR,Sector_Industrials
ITW,Sector_Industrials
J,Sector_Industrials
JBHT,Sector_Industrials
JCI,Sector_Industrials
LDOS,Sector_Industrials
LHX,Sector_Industrials
LII,Sector_Industrials
LMT,Sector_Industrials
LUV,Sector_Industrials
MAS,Sector_Industrials
MMM,Sector_Industrials
NDSN,Sector_Industrials
NOC,Sector_Industrials
NSC,Sector_Industrials
ODFL,Sector_Industrials
OTIS,Sector_Industrials
PAYC,Sector_Industrials
PAYX,Sector_Industrials
PCAR,Sector_Industrials
PH,Sector_Industrials
PNR,Sector_Industrials
PWR,Sector_Industrials
ROK,Sector_Industrials
ROL,Sector_Industrials
RSG,Sector_Industrials
RTX,Sector_Industrials
SNA,Sector_Industrials
SWK,Sector_Industrials
TDG,Sector_Industrials
TT,Sector_Industrials
TXT,Sector_Industrials
UAL,Sector_Industrials
UBER,Sector_Industrials
UNP,Sector_Industrials
UPS,Sector_Industrials
URI,Sector_Industrials
VLTO,Sector_Industrials
VRSK,Sector_Industrials
WAB,Sector_Industrials
WM,Sector_Industrials
XYL,Sector_Industrials
AAPL,Sector_InformationTechnology
ACN,Sector_InformationTechnology
ADBE,Sector_InformationTechnology
ADI,Sector_InformationTechnology
ADSK,Sector_InformationTechnology
AKAM,Sector_InformationTechnology
AMAT,Sector_InformationTechnology
AMD,Sector_InformationTechnology
ANET,Sector_InformationTechnology
APH,Sector_InformationTechnology
APP,Sector_InformationTechnology
AVGO,Sector_InformationTechnology
CDNS,Sector_InformationTechnology
CDW,Sector_InformationTechnology
CRM,Sector_InformationTechnology
CRWD,Sector_InformationTechnology
CSCO,Sector_InformationTechnology
CTSH,Sector_InformationTechnology
DDOG,Sector_InformationTechnology
DELL,Sector_InformationTechnology
EPAM,Sector_InformationTechnology
FFIV,Sector_InformationTechnology
FICO,Sector_InformationTechnology
FSLR,Sector_InformationTechnology
FTNT,Sector_InformationTechnology
GDDY,Sector_InformationTechnology
GEN,Sector_InformationTechnology
GLW,Sector_InformationTechnology
HPE,Sector_InformationTechnology
HPQ,Sector_InformationTechnology
